Type [-],Tyre emissions [µg/s],Brake emissions [µg/s],Road emissions [µg/s]
LV_D,0.07040326508999999,0.08528139240185183,0.03908165972222222
LV_P,0.04074808490999999,0.04935926500555554,0.022619729166666665
LCV_D,0.021366715646249996,0.025882084574305547,0.011860908854166666
LCV_P,0.004763546853749999,0.0057702140368055535,0.0026442994791666665
B_D,0.0004608236111111111,0.0006042539351851852,0.00019097222222222226
HDT_1420_D,0.0051819547499999995,0.008700878202916667,0.004626851851851852
HDT_32_D,0.02420215874999999,0.024382308880416665,0.012965740740740741
L_P,0.004087661805555556,0.007567380787037036,0.002774305555555556
All,0.17121421141666662,0.20754777782407405,0.09676446759259259
